Realized,Predicted,Budget y
17367.4,16779.758,2476.6
31076.6,25483.436,34226.8
8553.8,10889.169,8284.0
1335.6,7114.965,1357.0
22732.7,43495.324,16778.0
2862.6,4121.8223,2536.1
9494.6,12161.882,11795.0
3105.7,41676.12,360.0
7846.0,13801.245,8311.0
3523.1,924.1241,194.5
248471.6,269728.78,251272.0
22428.7,26867.174,22308.7
37176.1,38554.785,35898.6
218506.0,265048.47,205726.0
29272.1,49547.99,29008.4
22311.7,30579.068,19865.1
189.1,2913.6282,95.0
179.7,869.8034,197.8
124118.0,152839.8,111040.0
22428.7,32498.88,22308.7
37176.1,41389.035,35898.6
1970.8,270.54218,2061.8
19048.0,16470.72,21560.3
28000.0,24303.332,0.0
19866.5,24755.16,28440.1
1797.2,4463.295,2297.0
13174.2,4630.148,13880.9
10294.5,10135.826,10815.0
1095.0,4785.1187,980.0
2386.9,7364.334,2390.0
80.6,6465.409,1150.0
4953.9,11586.525,9390.0
8366.4,11439.839,16400.0
107710.7,142674.94,157500.0
12784.3,51811.58,20009.2
20909.7,106108.69,111100.0
870.3,46124.57,525.0
4344.5,41646.36,0.0
26.7,43311.13,0.0
1823.0,22353.219,2795.2
26685.9,76758.516,24993.2
29751.7,87084.12,23472.5
0.0,25474.957,1270.8
4344.5,30654.816,0.0
265375.67377,244573.19,207634.0
81185.88198,92493.12,90506.0
15447.47749,14362.21,8832.0
21026.12533,9506.36,16119.0
407587.4714700001,450823.22,394828.0
92033.50282,113649.1,90905.0
35332.66324,27658.307,39659.0
359534.5229,340576.38,330740.0
195134.4,361602.12,169926.9
62801.71341,59693.574,58366.0
19889.8,89653.086,1126.3
11956.8,72972.9,12234.8
7949.2,12043.3125,8035.5
22178.2,12265.607,18265.4
332.0,8174.1963,150.0
8366.4,13623.446,16400.0
0.0,8149.0864,2080.0
769880.3,904615.2,780060.0
485436.1,555530.5,494116.7
156989.3,159254.48,161942.3
27081.1,136795.62,14532.5
3394189.3,3156103.0,3109543.4
222495.2,232743.14,231477.5
675150.9,594556.06,569463.5
2558588.8,2303915.0,2282830.2
282555.5,240792.16,155248.0
304780.9,341779.75,281871.4
38844.9,133574.36,21811.6
9650.3,152985.75,21127.7
1561262.9,1732923.6,1509139.8
222495.2,270623.56,231477.5
675150.9,624708.44,569463.5
115313.5,180528.73,94053.1
