Year,Region,Acc-ID,y,Budget y,Budget y+1,Slack,Realized_1yr_lag,Realized_2yr_lag,ds,y(t-1),y(t-2),y(t-3),yhat
2021,AR,60,0.0,350.0,0.0,350.0,7817.6,0.0,2021-01-01,7817.6,10279.1,5.0,908.3051
2020,AR,61,0.0,703.8,0.0,703.8,0.0,0.0,2020-01-01,0.0,136.0,19.2,1.2169571
2022,AR,63,3585.3,7800.0,7800.0,4214.7,2675.7,2098.7,2022-01-01,2675.7,2098.7,3307.7,1929.7128
2022,AR,64,3197.2,384.3,839.2,-2812.9,1697.6,1397.9,2022-01-01,1697.6,1397.9,696.8,189.3561
2022,AR,67,3978.1,3690.0,3886.0,-288.0999999999999,3753.6,3819.7,2022-01-01,3753.6,3819.7,3635.2,4027.0793
2022,BE,30,3150201.2,3196887.4,3305027.9,46686.19999999972,3079322.4,2991942.8,2022-01-01,3079322.4,2991942.8,2954935.3,431555.06
2022,BE,31,906239.3,1024521.5,956747.2,118282.19999999995,969183.3,939551.7,2022-01-01,969183.3,939551.7,924267.7,292375.28
2022,BE,34,64178.4,64384.1,62991.4,205.6999999999971,75677.2,84915.1,2022-01-01,75677.2,84915.1,97133.7,-2259.9795
2022,BE,35,95074.8,70980.7,72212.2,-24094.10000000001,125093.0,155280.4,2022-01-01,125093.0,155280.4,88728.2,16826.664
2022,BE,36,6606185.5,6673730.4,7046237.4,67544.90000000037,6885855.5,6695358.3,2022-01-01,6885855.5,6695358.3,6110230.3,852899.4
2022,BE,37,591595.5,577095.2,584980.0,-14500.300000000048,584180.8,584352.2,2022-01-01,584180.8,584352.2,582437.9,269034.88
2022,BE,39,158505.1,179884.7,195763.6,21379.60000000001,150910.9,153576.1,2022-01-01,150910.9,153576.1,152659.3,55541.562
2022,BE,41,539156.6,539190.5,379316.5,33.90000000002328,542948.1,381443.9,2022-01-01,542948.1,381443.9,171848.5,64900.34
2022,BE,42,578319.8,553238.8,547914.7,-25081.0,627259.2,614519.4,2022-01-01,627259.2,614519.4,610656.2,358884.94
2022,BE,43,3215.0,2746.4,2668.2,-468.5999999999999,3158.4,1994.3,2022-01-01,3158.4,1994.3,3815.3,8.549643
