ds,y,yhat,yhat_lower,yhat_upper,Region,Acc-ID
2022-01-01,24708.76,18369.274797347873,13628.658046445129,22818.30577918742,NE,54
2022-01-01,0.0,20487.184087561436,-81991.85714521912,112611.06778818948,NE,55
2022-01-01,15182.247,18266.50626807452,13991.179980033277,22990.913245595282,NE,56
2022-01-01,2142.706,1166.3250339860156,150.34190334943685,2201.131643882502,NE,57
2022-01-01,16.326,1735.010178676915,344.20921569206007,3125.387256308892,NE,60
2022-01-01,2592.647,170.27093299114222,-1326.2317086143357,1599.7493555364033,NE,63
2022-01-01,14156.28,17354.02436776391,12149.897718761138,22571.069029955775,NE,64
2022-01-01,23661.941,19548.535514323816,15207.905602288036,23411.976699794384,NE,66
2022-01-01,2142.706,1568.703154921217,499.06656418511216,2600.4914305691564,NE,67
2022-01-01,181.278,-188.0315777003808,-188.03157829108855,-188.03157704716043,NE,68
2022-01-01,353631.3,298474.5455451184,289071.3564652977,309419.4563063576,NW,10
2022-01-01,345304.3,343898.48115814396,341247.13871573994,346314.60522916296,NW,14
2022-01-01,361648.9,341363.10084757046,332378.4721337053,349883.26130355423,NW,20
2022-01-01,337286.60000000003,286154.17925619107,277424.0343564889,294565.91562665644,NW,29
2022-01-01,84409.5,81849.2809727956,81291.84027171435,82480.39915348147,NW,30
2022-01-01,38178.3,-5819.252982610167,-75464.15998627574,59736.83018159468,NW,31
2022-01-01,7846.0,7156.396525779208,7145.517480749996,7169.904310681199,NW,33
2022-01-01,1970.8,27567.777607370546,18157.640526963223,37628.602313583935,NW,34
2022-01-01,3523.1,504.08479866136804,486.1380533464377,519.527305244146,NW,35
2022-01-01,248471.6,304816.1774077795,251579.0638473373,359951.89560869464,NW,36
2022-01-01,22428.7,11163.712982440164,-25592.763618672612,49475.71680729009,NW,37
2022-01-01,28000.0,43228.417227716935,43228.41687135827,43228.41758322779,NW,38
2022-01-01,37176.1,38567.97243439093,35114.08154474825,42021.657555129466,NW,39
2022-01-01,218506.0,253031.3714738264,238724.67425569327,267023.0404586848,NW,40
2022-01-01,29272.1,22825.509806748425,17521.51699838831,28066.389447376736,NW,41
2022-01-01,22311.7,24032.82495154423,17797.260220809978,29926.296532390155,NW,42
2022-01-01,189.1,-3668.477093207035,-5020.976844795407,-2234.2521701246233,NW,43
2022-01-01,19048.0,27511.34218128187,27496.29667292496,27526.26616732205,NW,44
2022-01-01,179.7,714.4205274886749,659.0824221087369,772.0009017636618,NW,45
2022-01-01,124118.0,117867.89107510312,111822.46151555814,124048.20329308558,NW,46
2022-01-01,22428.7,34756.883489898224,26891.04647296056,43249.82122860401,NW,47
2022-01-01,37176.1,37219.846586702326,35990.228588874445,38460.844090626895,NW,49
2022-01-01,19866.5,17753.016783033796,9499.407403092851,26235.78935376401,NW,50
2022-01-01,1797.2,1008.2511816632501,719.121070830398,1313.6272878643322,NW,52
2022-01-01,13174.2,3448.61487617623,1683.776212133904,5254.68775752055,NW,54
2022-01-01,10294.5,10691.741726276468,6909.254750071032,14617.413858545413,NW,56
2022-01-01,1095.0,882.0786092022628,597.9730578047411,1164.131823466096,NW,57
2022-01-01,2386.9,2427.828997124375,2427.828976313108,2427.829016189916,NW,60
2022-01-01,9494.6,11460.09381281987,9224.74000637302,13834.990573822062,NW,63
2022-01-01,2862.6,2348.7713697414474,1748.1370779575493,2940.185873999901,NW,64
2022-01-01,1095.0,882.0786092022628,598.653617354477,1171.8041064042661,NW,67
2022-01-01,59827.7,58523.67331143732,58121.872956780004,58962.35876068625,OW,30
2022-01-01,29052.2,28296.27045979846,24441.048570626237,31910.811687204638,OW,31
2022-01-01,2310.7,2641.5008807692757,2641.5008577889985,2641.5009012764212,OW,33
2022-01-01,217.2,-7998.102514594222,-11075.060066340584,-4900.6895414610035,OW,34
2022-01-01,976.9,-1550.6077802788786,-2809.6501484396817,-412.51164908022884,OW,35
2022-01-01,165867.4,201651.2095391231,173854.2681375645,229345.66617463608,OW,36
2022-01-01,38024.4,46886.61254746361,39926.862972728086,54662.49704773343,OW,37
2022-01-01,17367.4,27243.13543219911,27243.13538691371,27243.13547241918,OW,38
2022-01-01,23749.0,23369.209998507748,21270.17832940548,25746.56377707803,OW,39
2022-01-01,125822.5,142305.02039448582,142305.02001402495,142305.02081474388,OW,40
2022-01-01,22732.7,16283.956339933833,10528.124541524769,21870.49791240044,OW,41
2022-01-01,14022.1,14305.624103509748,13024.598543308304,15663.885549151955,OW,42
2022-01-01,4348.9,1542.187818411845,592.8223451446332,2474.5478037209073,OW,43
2022-01-01,18287.1,18141.640016475147,18095.399561688148,18190.40905157237,OW,44
2022-01-01,402.0,1497.8691544606818,-1078.5632311447018,4061.546828527717,OW,45
2022-01-01,92111.0,100773.31120236943,81980.76473791616,118616.65288443753,OW,46
2022-01-01,38024.4,48588.30816563824,42122.383655291684,55111.85874994894,OW,47
2022-01-01,23749.1,23349.291288487933,20759.030423989094,25762.093032310215,OW,49
2022-01-01,31076.6,16793.16520928237,-3577.620644804106,38643.539590230204,OW,50
2022-01-01,8553.8,1645.7736927385308,-8699.679572033712,11770.760230463351,OW,51
2022-01-01,1335.6,1140.1560638665696,805.6227205262695,1491.1319654269225,OW,52
2022-01-01,80.6,-79.58201387939886,-427.6208094007276,246.05149417744815,OW,54
2022-01-01,4953.9,6023.428221388163,3661.667017995766,8492.969025874952,OW,56
2022-01-01,8366.4,7579.125939482631,5115.250206484565,10228.299563450964,OW,57
2022-01-01,7949.2,2026.924213767225,-8202.770462432354,12858.994309065969,OW,61
2022-01-01,22178.2,20467.501527237313,12290.332046469697,28886.231798641365,OW,63
2022-01-01,332.0,-1518.2126505799142,-5072.489792110958,1693.6247070067523,OW,64
2022-01-01,8366.4,6850.721964887321,4819.754998941898,8837.21160640174,OW,67
2022-01-01,0.0,9843.759837835196,9843.759810552672,9843.75986172362,OW,68
2022-01-01,769880.3,742383.5233347052,701492.7834463198,779059.8959590016,SG,30
2022-01-01,485436.1,468505.3921725024,443976.4117994501,494107.75607008825,SG,31
2022-01-01,156989.3,151622.0796505789,151622.07931330797,151622.08006695562,SG,33
2022-01-01,11956.8,-118716.68302703911,-183179.52229376236,-49980.68506864139,SG,34
2022-01-01,27081.1,7313.900622680885,-7011.524856362679,21894.159580002233,SG,35
2022-01-01,3394189.3,3981457.4457925498,3328857.540841876,4578180.083906156,SG,36
2022-01-01,222495.2,75009.62507387326,-65096.29670521211,226063.90853685874,SG,37
2022-01-01,19889.8,-56485.71766838138,-56485.718126730986,-56485.717219801925,SG,38
2022-01-01,675150.9,694770.8563291428,617646.5263992264,779451.4478966701,SG,39
2022-01-01,2558588.8,2465263.800417139,2465263.795412449,2465263.806826813,SG,40
2022-01-01,282555.5,174989.05506878727,98096.66419202139,250620.2035062003,SG,41
2022-01-01,304780.9,331668.47327705554,288218.8045966412,374509.748538257,SG,42
2022-01-01,38844.9,8970.47458508941,-4981.448164256408,24312.01927636413,SG,43
2022-01-01,115313.5,54215.46605186157,20777.762913269085,87380.03260322077,SG,44
2022-01-01,9650.3,-23442.24267538634,-66112.97051836613,11486.731976755156,SG,45
2022-01-01,1561262.9,2061255.6062521068,1772025.0718145084,2359422.6942632585,SG,46
2022-01-01,222495.2,184418.9170059546,139196.00234310576,225267.0006562276,SG,47
