Realized,Predicted,Budget y
38024.4,114058.19525770708,39339.6
23749.0,94895.368752029,24945.9
125822.5,211191.17373881527,124605.0
14022.1,91059.1798842123,14166.2
4348.9,91059.1798842123,3771.7
402.0,91059.1798842123,370.7
92111.0,153825.00436807433,90411.7
38024.4,114058.19525770708,39339.6
23749.1,94895.368752029,24945.9
217.2,91059.1798842123,349.8
18287.1,94895.368752029,19114.0
17367.4,94895.368752029,2476.6
31076.6,95159.31688784907,34226.8
8553.8,91059.1798842123,8284.0
1335.6,91059.1798842123,1357.0
22732.7,94895.368752029,16778.0
2862.6,91059.1798842123,2536.1
9494.6,91059.1798842123,11795.0
3105.7,91059.1798842123,360.0
7846.0,91059.1798842123,8311.0
3523.1,91059.1798842123,194.5
248471.6,280185.88005650364,251272.0
22428.7,97912.92497413457,22308.7
37176.1,96097.87838853094,35898.6
218506.0,426995.1938436956,205726.0
29272.1,94895.368752029,29008.4
22311.7,94895.368752029,19865.1
189.1,91059.1798842123,95.0
179.7,91059.1798842123,197.8
124118.0,167080.32885717205,111040.0
22428.7,97912.92497413457,22308.7
37176.1,96097.87838853094,35898.6
1970.8,91059.1798842123,2061.8
19048.0,94895.368752029,21560.3
28000.0,101466.90661723618,0.0
19866.5,94895.368752029,28440.1
1797.2,91059.1798842123,2297.0
13174.2,91059.1798842123,13880.9
10294.5,91059.1798842123,10815.0
1095.0,91059.1798842123,980.0
2386.9,91059.1798842123,2390.0
80.6,91059.1798842123,1150.0
4953.9,91059.1798842123,9390.0
8366.4,91059.1798842123,16400.0
107710.7,167318.4834771717,157500.0
12784.3,91059.1798842123,20009.2
20909.7,117752.32799638408,111100.0
870.3,91059.1798842123,525.0
4344.5,91059.1798842123,0.0
26.7,91059.1798842123,0.0
1823.0,91059.1798842123,2795.2
26685.9,94895.368752029,24993.2
29751.7,113794.24712188702,23472.5
0.0,91059.1798842123,1270.8
4344.5,91059.1798842123,0.0
265375.67377,292440.6273434796,207634.0
81185.88198,143151.54161883445,90506.0
15447.47749,91059.1798842123,8832.0
21026.12533,91059.1798842123,16119.0
407587.4714700001,456863.6780165292,394828.0
92033.50282,154452.82854935483,90905.0
35332.66324,94895.368752029,39659.0
359534.5229,458185.0197034787,330740.0
195134.4,248200.94471677742,169926.9
62801.71341,133561.76021539912,58366.0
19889.8,132878.53180705095,1126.3
11956.8,91059.1798842123,12234.8
7949.2,91059.1798842123,8035.5
22178.2,91059.1798842123,18265.4
332.0,91059.1798842123,150.0
8366.4,91059.1798842123,16400.0
0.0,91059.1798842123,2080.0
769880.3,617211.3658263274,780060.0
485436.1,412660.72996787785,494116.7
156989.3,185731.64705986605,161942.3
