Canton,Year,Einwohner in 1000,pro km²,Veränderung in %,Ausländer in %,Altersverteilung in % 0–19,Altersverteilung in % 20–64,Altersverteilung in % 65 und mehr,Städtische Bevölkerung in %,Anzahl Privathaushalte in 1000,Durchschnittliche Haushaltsgrösse in Personen,Deutsch,Französisch,Italienisch,Rätoromanisch,Englisch,Römisch-katholisch ,Evangelisch-reformiert,Ohne Religionszugehörigkeit,Siedlungsflächen in %,Landwirtschaftsflächen in %,Wald und Gehölze in %,Unproduktive Flächen in %,Nettoerwerbsquote (15-64-Jährige),Arbeitslosenquote (gemäss SECO),Bruttoinlandprodukt pro Einwohner in Fr.,Veränderung des kantonalen BIP in %,"Beschäftigte, Total in 1000",im 1. Sektor,im 2. Sektor,im 3. Sektor,"Arbeitsstätten, Total",im 1. Sektor,im 2. Sektor,im 3. Sektor,Wohneigentumsquote,Neu gebaute Wohnungen pro 1000 Einwohner,Leerwohnungsziffer,Personenwagen pro 1000 Einwohner,Hauptverkehrsmittel der erwerbstätigen Pendler in % Öffentlicher Verkehr ,Hauptverkehrsmittel der erwerbstätigen Pendler in % Motorisierter Individualverkehr,Sozialhilfequote,Ärtze im ambulanten Sektor pro 100 000 Einwohner,Spitäler Betten pro 1000 Einwohner,Spitäler Hospitalisierungsrate der Akutpflege (pro 1000 Einwohner) ,Ohne nachobligatorische Ausbildung (ab 25 Jahren),Sekundarstufe II (ab 25 Jahren),Tertiärstufe (ab 25 Jahren),FDP,CVP,SP,SVP,EVP/CSP,GLP,BDP,PdA/Sol.,GPS,Kleine Rechtsparteien
AI,2014,15.717,91.1024808718,0.184854666,10.0528090603,23.2487115862,59.2733982312,17.4778901826,0.0,6.0,2.44,95.1240244185148,0.6060151456610772,0.9352935630940422,0.0,2.4477586739819177,78.33243180588826,8.368750482961131,7.201916389768951,4.7246376812,53.7101449275,31.9652173913,9.6,81.96626506024096,1.4204876911,50739.305738103,2.4839307437,8.431388972,1.0919166667,2.6734980298999997,4.6659742754,1862.0,528.0,302.0,1032.0,52.8,4.8991537825,1.2079615649,549.7046306295,8.225873127340824,61.29447565543071,1.14337,108.121859696,2.8678483555,98.0928162746,22.212853663106614,56.90462806820311,19.467865842233465,0.0,76.0960078374,20.3281900563,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG,2014,487.06,249.6783288479,1.7024182148,22.4964070135,21.3577382663,61.9909251427,16.651336591,66.8340656182,206.0,2.3,89.34760347667786,1.2241091878682344,3.588972381484761,0.347519379461481,2.4645431295047664,47.387050018056165,22.182866923575418,15.116721989443326,9.5791058777,46.6148263349,30.5685156385,13.2375521489,80.82568639637334,2.4298966899,65649.074944672,3.1300949237,284.08711405139996,11.9693137219,87.5422460572,184.57555427230002,37269.0,4535.0,6759.0,25975.0,41.0,6.4283661151,1.5121343859,537.2612572337,20.193242305021986,53.45907583121191,2.16391,177.4196529228,4.5446568142,174.6724440743,22.755384380898786,50.73775104639302,24.486476029685907,12.2636746516,20.3269643236,16.6806995232,31.530923014,1.8261640299,5.9714956159,3.7888729478,0.0,6.3876690113,1.2235368826
GR,2014,193.92,27.2917651827,0.674381298,17.2906353135,18.803630363,62.4174917492,18.7788778878,50.0964315182,87.0,2.19,74.63063479700126,1.2644825236101644,12.043009444065817,15.192654074578911,2.491237464706455,43.84127640930776,34.73189076039334,13.997541622042645,1.9511199623,28.7612506421,27.6403735319,41.6472558637,81.72478110741152,1.7121939159,59914.221352959,1.2057889758,125.67416506100001,7.542667916,26.4443687048,91.6871284402,20413.0,2738.0,3012.0,14663.0,43.3,9.2357673267,0.9341799208,540.5609448363,18.026875189796538,44.772054357728514,1.1283,172.7792706136,6.678788598,201.4520743181,22.850488725784256,52.015244010021526,23.796887681287274,11.903467855,16.7007622154,15.5911433308,24.472409368,0.0,8.235186311,20.4329768809,0.0,2.1572941684,0.5067598706
AG,2014,627.34,449.6803050721,2.5960560358,22.8348264099,20.6940415086,63.1689355055,16.1370229859,66.0039213186,266.0,2.3,88.4701109079504,2.01567621055923,5.178373616987201,0.2047707387571522,3.527052044942792,34.942200885051925,27.524886127259105,22.55509648438766,16.993282471,44.0621460475,36.3936201284,2.5509513531,81.38627463808074,2.8494090776,65174.189569158,1.9492950258,318.8978842133,10.9231649953,96.57979869670001,211.3949205213,41508.0,3680.0,7106.0,30722.0,49.2,7.2974782415,1.6771927895,577.5516013314,22.182142101178297,55.467555680989676,1.97542,156.5484104438,4.6213912099,164.2788675362,19.625774555773557,51.36665447330208,27.486947557447376,11.4806967332,10.5927393344,18.0368900702,34.7529923639,3.2210780969,5.666632015,6.1445981691,0.0,7.301882956,1.5513792793
TG,2014,256.213,296.9105257669,3.1270628391,22.7424057327,21.279950666,62.8141429201,15.9059064138,50.0720103976,107.0,2.32,90.61806285781049,1.2314522724617363,3.8756864119640144,0.18549963780815515,2.387194765743662,33.22490945203879,35.70276901507185,16.91459282626475,12.2861727573,51.9714997931,21.4155237317,14.3268037179,81.26784238867204,2.4744386374,56288.285023805,3.7300094824,129.1911896194,9.0570165789,40.8634709985,79.27070204200001,20149.0,2930.0,3622.0,13597.0,46.1,7.8528411907,1.4719204781,602.917772936,15.723508761895229,57.29514467315378,1.5948,147.550198295,5.5677347652,160.9686217251,20.789190085385062,52.61101439663986,25.029705159026225,11.2502761292,14.3746493493,12.083504813,38.6709149764,2.9304467019,5.2141512375,4.9578116421,0.0,7.0365897515,3.4816553992
TI,2014,341.652,124.6236508151,2.3667202991,26.7324646131,18.7231451887,60.2352686359,21.0415861754,87.9154812499,155.0,2.14,10.774846914743287,5.088179878640104,87.65897315120112,0.1764756171898811,3.0797151644454295,69.25410767227287,4.402759690781635,16.755215981823724,5.6466580858,12.9445396557,50.6915653912,30.7172368674,71.98261967137195,4.5159447872,66611.037873158,1.3861647373,206.532914035,3.3933197994000004,51.1107045001,152.0288897355,31477.0,1257.0,4802.0,25418.0,38.8,5.4938943721,0.8186466003,628.2872770765,14.75501409799436,60.85213065914774,2.24014,200.8473062746,5.4824351431,189.5976245036,26.256873217689968,45.343148839627545,25.89883568873974,24.8468089453,19.9629617338,16.6004481016,9.7079953192,0.0,0.0,0.0,1.2228359795,6.7404430138,17.5322503381
VD,2014,734.356,260.1636039636,2.9546560192,32.1733600597,22.4056179836,61.5607416566,16.0336403597,74.4728714683,321.0,2.19,6.808630478914132,83.84073410366834,5.27829790943395,0.05281097400496532,7.386633184530046,31.39453210781561,26.641767400848565,26.901432769467778,9.3220840273,42.4078080976,32.1436465808,16.1264612942,78.00391462237535,5.0078414695,67159.33139052,2.5984524365,406.7882649513,13.726170533500001,70.8019497681,322.2601446497,55007.0,4198.0,7880.0,42929.0,31.2,5.5844849092,0.6058883529,529.9127756411,25.703881514333716,50.717741050398054,5.08758,238.0384649449,4.8260942007,163.938916661,25.724582917019184,38.57794284211208,33.83834120813221,16.2795049167,4.6270595724,25.1451819744,22.9496566273,1.0642774691,5.1012939451,0.8311850694,3.9211012332,11.5674440308,1.7139351648
VS,2014,321.732,61.7096692522,2.8936562152,21.6322902291,20.5559285368,61.654731267,17.7893401962,57.0412641577,134.0,2.32,26.547296413285235,67.39584696185261,3.8472609012578736,0.09448799506569726,2.5815374838794085,74.87094181634674,6.251985869951218,11.08236921294133,3.5339808055,18.9879450733,23.976441404,53.5016327171,78.19088205306508,4.049664236,53866.881436761,-0.6704309517,166.2323202108,10.0226471999,38.8394380088,117.3702350021,27552.0,3787.0,4201.0,19564.0,57.2,8.3205898077,1.2972597988,623.6538789106,12.734965622375011,58.483028964315714,1.51535,151.1142342768,4.3811755858,151.2695028133,31.0941680159558,44.408705860788274,22.854848494106044,18.813469329,39.8801754923,14.6339710693,19.6766047816,0.7205785506,0.0,0.6313210611,0.0,4.993188436,0.0
NE,2014,174.554,243.4742582958,1.4347560798,24.0051789131,21.9210101172,59.886338898,18.1926509848,74.567755537,78.0,2.18,5.985760806655184,88.34784912870361,6.206809988354823,0.08991943210582469,3.271806815566883,24.408153019029754,23.719204780798705,39.3007314845161,8.3443329266,41.6531765995,38.4417104575,11.5607800164,78.65717353422632,5.2470559124,71125.600564705,8.1867270621,100.81414533840001,2.466,35.1511710634,63.196974275,13217.0,973.0,2538.0,9706.0,30.4,3.0706829978,0.8167963432,539.9894908854,22.240562652504664,53.377828812018564,7.00935,200.5592738608,4.0428043541,129.8337536702,27.63336772967749,41.65806758062667,28.729136979345814,26.8237597603,3.4898875565,24.7247991652,21.3940056667,0.0,0.0,1.4841102688,10.4283354299,11.6551021525,0.0
GE,2014,463.101,1883.979496359,1.1767147679,39.6639178063,21.3581918415,62.2896517174,16.352156441,99.1893776951,193.0,2.18,5.0131746706332345,80.77404731548378,7.125938518203712,0.031159934834962457,10.681399631675875,36.455305284034566,10.730981725456864,35.968550786230345,33.334513525,39.5198980314,12.4132559128,14.7323325308,75.23809859254146,5.459961279,104914.15074804,0.2734422436,321.22651162060004,1.65825,45.0425020711,274.52575954950004,36125.0,418.0,4208.0,31499.0,17.6,3.698977113,0.360942506,477.1982090356,36.69062906413525,34.504828320686514,5.33446,361.0256498894,5.6827273366,181.775268369,26.376683419738704,32.056997845090734,39.26488883902201,18.6515170836,9.7742758324,19.1307527118,16.0244342448,1.0176931992,3.1689872394,0.0,6.480837115,14.0203941066,9.7845584491
