Referenz-ID,HRM2-ID,HRM2-Bezeichnung,Rechnung 2021,Budget 2022,Anpassung Budget 2022,Budgetplus 2022,Rechnung 2022,Budget 2023,Source,Kanton,Year,Compte,Adaptation Budget**,Compte.1
HRM2_ER0447,447,Liegenschaftenertrag VV,459130.52503,459295.95151000004,0.8,459296.75151000003,465317.53724000003,463882.39899999986,HRM2_KT_alle,alle,2022,,,
HRM2_ER0448,448,Erträge von gemieteten Liegenschaften,4707.18142,27225.5,0.0,27225.5,5574.03875,2752.474,HRM2_KT_alle,alle,2022,,,
HRM2_ER0449,449,übriger Finanzertrag,89007.58729,22111.8,0.0,22111.8,39876.453239999995,16018.238,HRM2_KT_alle,alle,2022,,,
HRM2_ER4490,davon 4490,Aufwertungen Verwaltungsvermögen,49383.1652,320.0,0.0,320.0,9501.24104,320.0,HRM2_KT_alle,alle,2022,,,
HRM2_ERGFI,,Ergebnis aus Finanzierung,2484588.95274,2123072.82749,-9762.778,2113310.04949,2514624.9599799993,2259919.68805,HRM2_KT_alle,alle,2022,,,
HRM2_ERGOP,,Operatives Ergebnis,3516109.549608995,-802878.7158299971,-1904383.6044800007,-2707262.3203099975,4975584.502069996,-1343480.7120400004,HRM2_KT_alle,alle,2022,,,
HRM2_neu_ER0038,38,Ausserordentlicher Aufwand,1469104.3151500002,405919.444,0.0,405919.444,2295283.1030299994,398754.78800000006,HRM2_KT_alle,alle,2022,,,
HRM2_ER0380,380,a.o. Personalaufwand,49.76165,0.0,0.0,0.0,0.0,0.0,HRM2_KT_alle,alle,2022,,,
HRM2_ER0381,381,a.o. Sach- und Betriebsaufwand,2767.3,260.0,0.0,260.0,-654.3,0.0,HRM2_KT_alle,alle,2022,,,
HRM2_ER0383,383,Zusätzliche Abschreibungen Sachanlagen und immat. Anlagen VV,402946.68454000005,120853.128,0.0,120853.128,84111.63543,127990.728,HRM2_KT_alle,alle,2022,,,
HRM2_neu_ER0384,384,a.o. Finanzaufwand ,3212.3,0.0,0.0,0.0,20212.8,0.0,HRM2_KT_alle,alle,2022,,,
HRM2_ER3840,3840,a.o. Finanzaufwand (Geldwirksam),0.3,0.0,0.0,0.0,500.8,0.0,HRM2_KT_alle,alle,2022,,,
HRM2_ER3841,3841,a.o. Finanzaufwand (Wertberichtigungen),3212.0,0.0,0.0,0.0,19712.0,0.0,HRM2_KT_alle,alle,2022,,,
HRM2_ER0386,386,a.o.Transferaufwand (Geldwirksam),102328.4,0.0,0.0,0.0,-391.982,2250.0,HRM2_KT_alle,alle,2022,,,
HRM2_ER0387,387,"Zusätzlich Abschreibungen Darlehen, Beteiligungen, Invest.-Beiträge VV",35226.027579999994,48410.599,0.0,48410.599,33538.62807,41978.2,HRM2_KT_alle,alle,2022,,,
HRM2_ER0389,389,Einlagen in das Eigenkapital,922573.94138,236395.717,0.0,236395.717,2158466.2215299997,226535.86000000002,HRM2_KT_alle,alle,2022,,,
HRM2_neu_ER0048,48,Ausserordentlicher Ertrag,906145.67665,673512.48468,0.0,673512.48468,797162.47821,933156.6835,HRM2_KT_alle,alle,2022,,,
HRM2_ER4800,4800 + 4801,a.o. Direkte Steuern natürliche und juristische Personen,0.0,0.0,0.0,0.0,0.0,0.0,HRM2_KT_alle,alle,2022,,,
HRM2_ER4803,4802 + 4803,a.o. übrige direkte Steuern; a.o. Besitz- und Aufwandsteuern,0.0,0.0,0.0,0.0,0.0,0.0,HRM2_KT_alle,alle,2022,,,
HRM2_ER0481,481,"a.o. Regalien, Konzessionen",63957.25067,0.0,0.0,0.0,0.0,0.0,HRM2_KT_alle,alle,2022,,,
HRM2_ER0482,482,a.o. Entgelte,165.0,165.0,0.0,165.0,165.0,163.2,HRM2_KT_alle,alle,2022,,,
HRM2_ER0483,483,a.o. verschiedene Erträge,3426.5,0.0,0.0,0.0,3187.5,0.0,HRM2_KT_alle,alle,2022,,,
HRM2_ER0484,484,a.o. Finanzerträge,79380.29999999999,0.0,0.0,0.0,66086.8,0.0,HRM2_KT_alle,alle,2022,,,
HRM2_ER0485,485,a.o. Entnahmen aus Fonds und Spezialfinanzierungen,0.0,0.0,0.0,0.0,0.0,0.0,HRM2_KT_alle,alle,2022,,,
HRM2_ER0486,486,a.o. Transfererträge,42219.5,95.0,0.0,95.0,46770.7,4575.0,HRM2_KT_alle,alle,2022,,,
HRM2_ER0487,487,Zusätzliche Auflösung passivierter Investitionsbeiträge,0.0,0.0,0.0,0.0,0.0,0.0,HRM2_KT_alle,alle,2022,,,
HRM2_ER0489,489,Entnahmen aus dem Eigenkapital,716994.92565,673252.48468,0.0,673252.48468,680952.1770100001,928418.1835,HRM2_KT_alle,alle,2022,,,
HRM2_ER4895,davon 4895,Entnahmen aus Aufwertungsreserven,31651.803649999998,33613.248999999996,0.0,33613.248999999996,33863.048,34839.067,HRM2_KT_alle,alle,2022,,,
