,Canton,Year,Einwohner in 1000,Veränderung in %,pro km²,Altersverteilung in % 0–19,Altersverteilung in % 20–64,Altersverteilung in % 65 und mehr,Städtische Bevölkerung in % 1),Ausländer in %,Bevölkerungsbewegung (in ‰) Rohe Heiratsziffer,Bevölkerungsbewegung (in ‰) Rohe Scheidungsziffer,Bevölkerungsbewegung (in ‰) Rohe Geburtenziffer,Bevölkerungsbewegung (in ‰) Rohe Sterbeziffer,Anzahl Privathaushalte in 1000,Durchschnittliche Haushaltsgrösse in Personen,Deutsch,Französisch,Italienisch,Rätoromanisch,Englisch,Römisch-katholisch ,Evangelisch-reformiert,Ohne Religionszugehörigkeit,Siedlungsflächen in %,Veränderung in %,Landwirtschaftsflächen in %,Veränderung in %,Wald und Gehölze in %,Unproduktive Flächen in %,Nettoerwerbsquote (15-64-Jährige) 2),Arbeitslosenquote (gemäss SECO),Bruttoinlandprodukt pro Einwohner in Fr.,Veränderung des kantonalen BIP in %,"Beschäftigte, Total in 1000",im 1. Sektor,im 2. Sektor,im 3. Sektor,"Arbeitsstätten, Total",im 1. Sektor,im 2. Sektor,im 3. Sektor,Anteil Biofläche an der gesamten landwirtschaftlichen Nutzfläche in %,Landwirtschaftliche Nutzfläche pro Betrieb in ha,Leerwohnungsziffer,Wohneigentumsquote 2),Durchschnittliche Wohnfläche pro Bewohner in m²,Neu gebaute Wohnungen pro 1000 Einwohner,Ankünfte in Hotels und Kurbetrieben in 1000,Logiernächte in Hotels und Kurbetrieben in 1000,Personenwagen pro 1000 Einwohner,Hauptverkehrsmittel der erwerbstätigen Pendler in % 2) Öffentlicher Verkehr ,Hauptverkehrsmittel der erwerbstätigen Pendler in % 2) Motorisierter Individualverkehr,Sozialhilfequote,Ärtze im ambulanten Sektor pro 100 000 Einwohner,Spitäler Betten pro 1000 Einwohner,Spitäler Hospitalisierungsrate der Akutpflege (pro 1000 Einwohner) ,Spitäler Durchschnittliche Spitalaufenthaltsdauer bei der Akutpflege in Tagen,Ohne nachobligatorische Ausbildung (ab 25 Jahren) 2),Sekundarstufe II (ab 25 Jahren) 2),Tertiärstufe (ab 25 Jahren) 2),Hochschulabschlussquote,FDP 5),CVP,SP,SVP,EVP/CSP,GLP,BDP,PdA/Sol.,GPS,Kleine Rechtsparteien,gemäss Strafgesetzbuch (StGB) ,gemäss Betäubungsmittelgesetz (BetmG) ,gemäss Ausländergesetz (AuG)
15,AI,2021,16.128,2.8046914839,93.5064935065,21.1123511905,59.3129960317,19.5746527778,0.0,11.2599206349,4.8957332755,0.9915409166,10.7830074675,8.3041551762,6.508,2.430393362,94.90580256217031,0.0,1.5423310474755088,0.0,3.263286284853052,73.97136397889977,9.21627731725697,10.92690278824416,4.716050815,39.5547945205,53.7212135275,-2.7296587927,31.9508092117,9.6119264458,79.9,1.1,64868.07176,2.68760453,8.997,1.039,2.822,5.136,1864.0,478.0,288.0,1098.0,6.3729564587,15.9695964126,2.1465581051,56.9,50.1,8.3203973921,89.806,161.15,608.9811087,5.73416347361809,73.52386934673368,0.92908,93.0,2.1,141.1,4.4,20.870936651187243,50.573906948216944,28.555156400595813,23.45,0.0,61.271471578,8.730299274,29.077386223,0.0,0.0,0.0,0.0,0.0,0.0,17.0950758749,0.6193868071,0.0
16,SG,2021,510.734,6.6457579447,261.7672082415,20.4771955656,60.9918274483,18.5309769861,82.4386079642,24.4389447344,4.9625355081,1.9166737855,10.3472891143,7.9475192723,222.993,2.2541963201,87.66390171430186,1.2810762830187346,3.5253731273000395,0.36423911226428646,4.119881051325458,41.97791020458136,19.320918909119165,22.02928510716447,9.5571543238,24.196645756,46.4975649151,-4.3258853929,30.4988846375,13.4463961236,81.2,2.5,76218.83284,2.20638725,304.063,11.309,88.73,204.024,38662.0,4117.0,6690.0,27855.0,13.8346198461,18.2453813525,2.4073195371,40.6,47.8,5.3340096615,477.84,978.598,557.1630323,22.79540176079794,59.59076751345804,2.09475,200.0,4.5,149.2,5.0,19.732096017048434,50.863702217764406,29.40420176518716,23.09,14.994611338,18.780428983,12.690110486,31.319242422,1.56428209,7.31853147,0.636465038,0.0,10.535650584,1.179099528,36.7305696114,6.9411479682,2.2336157196
17,GR,2021,199.021,3.3225868415,28.009862935,17.7775209651,60.5297933384,21.6926856965,44.9128483929,18.7829425036,4.3029693005,1.7211877202,8.2033215903,8.7971816809,92.439,2.1184781315,75.23949542768091,1.349054662001235,13.234143903084478,14.710223764297686,3.4237995824634657,40.22523449675086,31.511070598959098,21.284365903143286,1.9511611541,22.8118355776,28.7618578466,-6.0242903064,27.6409570725,41.6460239268,81.6,1.9,73365.99599,2.18423141,130.594,7.071,26.999,96.524,20723.0,2435.0,3015.0,15273.0,65.7709182724,24.9677320889,1.3951897868,44.3,47.3,7.4638179172,1992.554,5256.016,574.5416602,17.53324281299747,54.36136342354153,1.27483,184.0,5.2,148.7,4.7,18.131322885933308,53.06662049031296,28.80205662375374,27.28,13.630094131,16.348576979,17.118767695,29.938917101,0.0,8.347304851,9.099865528,0.0,5.516473716,0.0,33.1637925385,6.4573367141,0.5847393121
18,AG,2021,685.845,12.1640450982,491.6204921617,20.2391210842,61.8250479336,17.9358309822,85.0369981556,25.2965320153,4.6655112855,2.0395116902,10.3280520097,7.3267001551,297.256,2.277841322,86.35452768228411,1.9757572366327318,5.074123682857652,0.14170696227543444,5.514948888057327,30.18489828321227,22.20440580399453,31.72787393203493,16.9899212935,23.4730848861,44.0592613697,-6.9038695986,36.3973075964,2.5535097404,81.7,3.4,64995.81418,1.64188707,343.988,10.119,94.38,239.489,45250.0,3420.0,7184.0,34646.0,11.3054753082,19.1894776181,2.6547219883,47.3,50.0,7.6201064699,378.967,751.363,588.815804,24.102513906140306,62.54657881946319,2.10555,172.0,4.6,147.1,5.0,17.58843231762111,49.90924143372632,32.50212699823265,24.7,13.554601603,9.894579191,16.466316447,31.528317065,3.643545177,8.505534944,3.068081119,0.0,9.781515892,0.996939655,36.1261384798,4.8923116394,1.9330381432
19,TG,2021,279.547,12.5191189966,323.8833984081,20.2516929175,61.8082111416,17.9400959409,67.037743206,25.1524788318,4.891919161,1.8956186749,10.3737462209,7.4997437138,121.701,2.2669164592,89.09951996705404,1.2676473237841526,3.6828264888957527,0.1372059808930586,3.8707214221673123,30.049461839740207,29.843978567966058,25.388552136554143,12.2742080261,26.5357031494,51.9389617856,-4.8343281651,21.3895976843,14.397232504,81.6,2.5,62739.07927,2.37711829,137.652,8.672,41.508,87.472,20762.0,2667.0,3584.0,14511.0,15.8060851275,19.5267515606,2.482904889,45.4,51.7,7.7026745702,199.509,402.889,632.2810267,16.260020477986163,66.34118322802986,1.50142,164.0,5.6,151.5,5.1,17.744815272627385,53.181960876645675,29.07322385072694,24.01,11.453251962,12.691685861,12.642046443,36.674715675,2.667306876,8.147823404,2.274830727,0.0,10.599175615,2.849163437,34.0685494372,4.1270002026,2.039989583
20,TI,2021,351.491,5.3147087816,128.2331824168,17.9592080594,59.0763348137,22.9644571269,92.7964016148,27.556324344,3.4192448151,2.0515468891,7.0768436256,9.1879790135,163.671,2.1134348785,10.21659229019498,4.696390573199122,88.59738648416081,0.14239915150787458,3.872912956181252,62.79808955861066,3.931613669261505,24.2383916004616,5.6470797404,21.6282453856,12.9437283314,-16.134531214,50.693572762,30.7156191661,72.2,3.6,87612.35896,3.84691789,235.703,3.351,51.616,180.736,38952.0,1185.0,5434.0,32333.0,22.2290563035,12.8984174838,2.712031961,38.1,48.3,5.7052548847,1110.128,2309.518,632.1704406,17.747730313254635,67.22816346792989,2.68266,236.0,5.2,162.6,6.3,22.846755835419096,45.18009294389013,31.973151220690774,32.27,20.528249984,18.196590564,14.068040661,11.658416492,0.0,0.989424016,0.0,0.829912675,12.112355204,17.982277049,40.0432440999,10.3270759574,2.3914440077
21,VD,2021,805.098,12.8724864394,285.3854361258,21.9009362835,61.5327575028,16.5663062137,89.6343053889,33.0002061861,3.9233457774,2.1293532214,10.7302946,6.799468659,354.496,2.22606461,5.491711227505273,82.57014337582972,4.980415549475466,0.047224837709273625,8.912674958989825,27.746312127750876,21.40563703485028,36.37412235183838,9.3209970706,24.7780972622,42.4078749521,-5.1017493504,32.1370645132,16.1340634641,76.5,4.5,74060.08303,4.94584748,453.467,13.423,74.113,365.931,61228.0,3913.0,8186.0,49129.0,10.5734137506,30.0075615427,1.3691357076,29.8,43.0,6.5033556962,1492.314,2959.356,521.7338531,32.90301958916888,54.47426271534713,4.4938,247.0,4.6,126.7,5.7,22.90002962921158,37.39065410011852,39.7093162706699,28.34,23.339751958,2.425096478,20.387705362,17.378684016,1.300073599,8.372753395,0.376039244,4.068433365,19.677598961,0.403892911,57.3175080868,9.3424847806,4.0793598158
22,VS,2021,345.525,10.5029358714,66.2700977581,19.617393821,60.4607481369,19.9218580421,78.8987772231,22.580710513,4.2466786564,2.0624238557,9.1025120381,8.4063352091,152.632,2.2202749096,24.58508343346272,67.83924818122323,4.571094174720302,0.0,3.8491237668503047,68.89917691910814,5.590509465257122,17.842537734640384,3.5337440691,34.6288464343,18.9872472855,-10.5499499554,23.9763664238,53.5026422216,77.7,3.7,56627.28938,4.16160702,180.185,10.218,38.189,131.778,29392.0,2916.0,4453.0,22023.0,21.2387841303,13.5485861642,2.4043879792,54.5,46.1,9.0434395527,1845.418,4259.95,643.9679609,13.42451015791374,67.87269632369738,1.82669,184.0,3.9,139.4,5.9,26.338662543547805,46.04579983628793,27.615142180375905,28.92,16.481001968,34.784426029,15.066706393,19.775916248,1.030498026,0.796211111,0.0,0.0,10.588353818,0.0,34.2225000363,10.5566135105,2.168888372
23,NE,2021,176.496,2.5632681524,246.2551624065,20.9574154655,59.7900235699,19.2525609646,87.8427839724,25.260062551,3.5942107736,2.2187883831,9.4524913258,8.9713764978,81.535,2.1284356411,4.717290357825731,87.71851953018302,5.680142037694619,0.0,4.624419557497951,19.69816989893472,19.19352635891833,48.77219338978421,8.3526537531,18.4131471992,41.6947124374,-2.4582276266,38.4787973974,11.4738364121,76.2,4.6,93276.99261,5.05268748,107.5,2.434,35.341,69.725,13643.0,868.0,2402.0,10373.0,9.6797621058,40.4713021907,2.3526724532,30.3,45.1,2.9387966106,133.079,230.001,547.0172463,27.86814430839813,59.13099174784758,7.03534,245.0,3.3,137.5,5.0,25.860921380009824,42.17365810367506,31.965420516315113,31.45,22.348833882,4.172843039,16.634139362,12.658749463,0.0,9.067391615,0.0,14.123909,20.808127057,0.0,64.2635001414,9.4204127792,3.1212892282
24,GE,2021,504.128,10.1401527151,2050.8013993979,21.0416798908,62.5428462613,16.4154738479,100.0,39.9573124286,4.2845413747,2.255860854,10.6615331883,6.7137766937,202.628,2.3687743056,4.010464987779711,79.64415957564371,6.403380047133565,0.08477488711331331,12.161179315715215,30.993017344843448,8.164078261249477,44.2765100602148,33.3557665061,14.7890758352,39.533153868,-9.546191248,12.3937376027,14.7173420232,73.9,4.9,109846.9222,3.32854365,360.367,1.971,47.114,311.282,41679.0,421.0,4548.0,36710.0,14.0823785135,29.1011886305,0.4932177288,18.1,36.5,5.4013233747,1576.237,3202.974,438.8944502,45.47830166828011,32.52403831877275,5.97962,406.0,4.9,125.9,6.3,23.498064316929508,30.836737602128064,45.66519808094243,30.3,17.927960388,7.663163239,14.730241151,13.650933183,0.702389197,5.444836554,0.372319085,7.42261666,24.611560716,5.486574451,95.0969007768,15.5041242893,19.6224073036
