Region,Acc-ID,MSE,MAE,RMSE
BE,62.0,251225992.65137467,15850.110177893865,15850.110177893865
BE,63.0,567734092.9533129,23827.171316656808,23827.171316656808
BE,64.0,239238209.58610195,15467.32716360852,15467.32716360852
BE,66.0,54063396699.30685,232515.36873786827,232515.36873786827
BE,67.0,104780151.6139964,10236.217641980675,10236.217641980675
BL,30.0,15454688273.134176,124316.88651641086,124316.88651641086
BL,31.0,158427582244.3037,398029.6248325038,398029.6248325038
BL,33.0,57428752236.26526,239642.96825958666,239642.96825958666
BL,34.0,42961309306.8953,207271.1009931083,207271.1009931083
BL,35.0,89987902.29081427,9486.195353818846,9486.195353818846
BL,36.0,133205592352.36691,364973.41321302694,364973.41321302694
BL,37.0,1963354593.0389237,44309.75731189377,44309.75731189377
BL,38.0,4681374928.786452,68420.57387063085,68420.57387063085
BL,39.0,741809745.800352,27236.1844941679,27236.1844941679
BL,40.0,45247582753.02863,212714.79204095947,212714.79204095947
BL,41.0,1575935691.6102872,39698.05652182846,39698.05652182846
BL,42.0,23106610.629567917,4806.9335994548455,4806.9335994548455
BL,43.0,127459075.14360096,11289.777462093793,11289.777462093793
BL,44.0,880464458.4811506,29672.621361806756,29672.621361806756
BL,45.0,454531461.7017593,21319.74347176249,21319.74347176249
BL,46.0,1933846716.947445,43975.52406677429,43975.52406677429
BL,47.0,504184980.3365598,22454.063782232377,22454.063782232377
BL,49.0,975120503.6203498,31226.919534599467,31226.919534599467
BL,50.0,9797545.361350669,3130.103091169789,3130.103091169789
BL,54.0,207555093.01261055,14406.772470356105,14406.772470356105
BL,56.0,655760101.7464771,25607.81329490039,25607.81329490039
BL,61.0,3694.6883756246716,60.78394833855951,60.78394833855951
BL,63.0,252158544.6614278,15879.500768645965,15879.500768645965
BL,64.0,1387744.3719214126,1178.025624475721,1178.025624475721
BL,66.0,3124.968010199183,55.90141331128564,55.90141331128564
BS,30.0,21815282329.755886,147699.97403437784,147699.97403437784
BS,31.0,5642658506.080195,75117.63112665492,75117.63112665492
BS,33.0,415496239.93856996,20383.724878897134,20383.724878897134
