Region,Acc-ID,y,Realized_1yr_lag,Realized_2yr_lag,ds
UR,34,2867.0,,,2011-01-01
UR,34,45092.25,2867.0,,2011-01-01
UR,35,45092.25,,,2011-01-01
UR,36,45092.25,,,2011-01-01
UR,37,45092.25,,,2011-01-01
UR,35,2708.0,45092.25,,2011-01-01
UR,39,19308.0,,,2011-01-01
UR,42,10867.0,,,2011-01-01
UR,41,30832.0,,,2011-01-01
UR,43,30832.0,,,2011-01-01
UR,44,54112.0,,,2011-01-01
UR,45,54112.0,,,2011-01-01
UR,46,54112.0,,,2011-01-01
UR,47,54112.0,,,2011-01-01
UR,45,5077.0,54112.0,,2011-01-01
UR,49,19308.0,,,2011-01-01
UR,50,47685.0,,,2011-01-01
UR,54,1063.0,,,2011-01-01
UR,56,5399.0,,,2011-01-01
UR,57,5399.0,,,2011-01-01
SZ,30,203762.6,,,2011-01-01
SZ,31,79377.8,,,2011-01-01
SZ,34,6390.0,,,2011-01-01
UR,58,5399.0,0.0,,2011-01-01
UR,62,6686.166666666666,,,2011-01-01
UR,63,6686.166666666666,,,2011-01-01
UR,64,6686.166666666666,,,2011-01-01
UR,65,6686.166666666666,,,2011-01-01
UR,66,6686.166666666666,,,2011-01-01
UR,67,6686.166666666666,0.0,,2011-01-01
ZH,33,6053557.399999999,,,2011-01-01
ZH,34,2665493.000000001,,,2011-01-01
ZH,36,0.8257234890555892,,,2011-01-01
ZH,37,8308585.8,,,2011-01-01
ZH,38,0.4071760797778531,,,2011-01-01
ZH,42,0.0455119865128945,,,2011-01-01
ZH,43,330570.48999999993,,,2011-01-01
ZH,44,0.0312969005555151,,,2011-01-01
ZH,45,0.0062930291908122,,,2011-01-01
ZH,47,0.0614987646506781,,,2011-01-01
BE,30,3500946.113,,,2011-01-01
BE,31,793965.6543200001,,,2011-01-01
BE,34,115805.43957,,,2011-01-01
BE,34,1204005.345845,115805.43957,,2011-01-01
BE,35,1204005.345845,,,2011-01-01
BE,36,1204005.345845,,,2011-01-01
BE,37,1204005.345845,,,2011-01-01
BE,35,45443.89734999999,1204005.345845,,2011-01-01
BE,39,44618.49145,,,2011-01-01
BE,42,375486.69531,,,2011-01-01
BE,41,465845.978915,,,2011-01-01
BE,43,465845.978915,,,2011-01-01
ZH,31,5118556.908,,,2011-01-01
BE,44,934977.13378,,,2011-01-01
ZH,40,-0.0831076016319635,,,2011-01-01
ZH,33,501069.37,6053557.399999999,,2011-01-01
ZH,35,71126.1,,,2011-01-01
ZH,36,4197364.68,0.8257234890555892,,2011-01-01
ZH,37,628148.3,8308585.8,,2011-01-01
ZH,40,6471376.4,-0.0831076016319635,,2011-01-01
ZH,41,373468.06,,,2011-01-01
ZH,42,2614914.8,0.0455119865128945,,2011-01-01
ZH,43,294132.0,330570.48999999993,,2011-01-01
ZH,45,2557.4,0.0062930291908122,,2011-01-01
ZH,46,3022311.99,,,2011-01-01
ZH,47,628099.29,0.0614987646506781,,2011-01-01
ZH,34,212614.19,2665493.000000001,,2011-01-01
ZH,57,34695.4,,,2011-01-01
ZH,67,34695.4,,,2011-01-01
ZH,39,-1061799.6100699974,0.0,,2011-01-01
BE,45,934977.13378,,,2011-01-01
BE,46,934977.13378,,,2011-01-01
BE,47,934977.13378,,,2011-01-01
LU,46,411068.11842,0.0,,2011-01-01
LU,47,411068.11842,0.0,0.0,2011-01-01
LU,45,24656.68862,0.0,0.0,2011-01-01
LU,49,372251.91067,0.0,,2011-01-01
LU,50,262599.98598,,,2011-01-01
LU,54,3934.25585,,,2011-01-01
LU,56,14572.369179999998,,,2011-01-01
LU,57,14572.369179999998,0.0,,2011-01-01
LU,58,14572.369179999998,0.0,,2011-01-01
LU,60,903.563125,,,2011-01-01
LU,61,903.563125,,,2011-01-01
LU,62,21347.047411666663,,,2011-01-01
LU,63,21347.047411666663,,,2011-01-01
LU,64,21347.047411666663,,,2011-01-01
LU,65,21347.047411666663,,,2011-01-01
