Year,Region,Acc-ID,Realized,Budget y,Budget y+1,Slack,Alter 0–19,Alter 20–64,Alter 65 und mehr,Geschlecht Mann,Geschlecht Frau,Staatsangehörigkeit Schweiz,Staatsangehörigkeit Ausländer,Zivilstand Ledig,Zivilstand Verheiratet ,Zivilstand Verwitwet,Zivilstand Geschieden ,Zivilstand Unverheiratet ,Zivilstand In eingetragene Partnerschaft ,Zivilstand Aufgelöste Partnerschaft ,Städtischer Kernraum,Einflussgebiet städtischer Kerne,Gebiete ausserhalb des Einflusses städtischer Kerne,Einwanderung,Auswanderung,Wanderungssaldo Ein-und Auswanderung,Zuzüge,Wegzüge,Wanderungssaldo Zu-und Wegzüge,Betreibungshandlungen Verwertungen,Betreibungshandlungen Pfändungsvollzüge,Betreibungshandlungen Zahlungsbefehle,Transferzahlungen von Kantonen an Bund,Transferzahlungen von Kantonen an andere Kantone,Transferzahlungen von Kantonen an Gemeinden,Transferzahlungen von Gemeinden an Kantone,Öffentliche Bildugnsausgaben,Kulturausgaben Kanton,Kulturausgaben Gemeinden,Kulturausgaben Kantone und Gemeinde,"BWS Landwirtschaft, Forstwirtschaft und Fischerei",BWS Bergbau und Gewinnung von Steinen und Erden,"BWS Versorgung, Sammlung, Entsorgung","BWS Transport, IT-Dienstleistung",BWS Finanzdienstleistungen und Versicherungen,BWS Wissenschaft und Kunst sowie sonstige Dienstleistungen,BWS Öffentliche Verwaltung,BWS Private Haushalte als Hersteller,BIP
2021.0,AG,52.0,0.0,0.0,0.0,0.0,142961,430594,129531,353433,349653,521525,181561,303700,308147,30890,58936,35,1157,197,384558,212438,106090,9399,5808,3591,16949,13520,3429,75525.0,103788,171521,0.0,271803.721,53650.535,423793.682,2307327.99,68935177.05,60016367.05,128102137.9,299.46861,11767.76069,5407.25547,11742.81878,2067.3095,8517.79581,3747.17119,178.51239,44950.70226
2021.0,AG,54.0,0.0,0.0,0.0,0.0,142961,430594,129531,353433,349653,521525,181561,303700,308147,30890,58936,35,1157,197,384558,212438,106090,9399,5808,3591,16949,13520,3429,75525.0,103788,171521,0.0,271803.721,53650.535,423793.682,2307327.99,68935177.05,60016367.05,128102137.9,299.46861,11767.76069,5407.25547,11742.81878,2067.3095,8517.79581,3747.17119,178.51239,44950.70226
2021.0,AG,55.0,0.0,0.0,0.0,0.0,142961,430594,129531,353433,349653,521525,181561,303700,308147,30890,58936,35,1157,197,384558,212438,106090,9399,5808,3591,16949,13520,3429,75525.0,103788,171521,0.0,271803.721,53650.535,423793.682,2307327.99,68935177.05,60016367.05,128102137.9,299.46861,11767.76069,5407.25547,11742.81878,2067.3095,8517.79581,3747.17119,178.51239,44950.70226
2021.0,AG,56.0,66221.67024,91658.3,54328.9,25436.62976,142961,430594,129531,353433,349653,521525,181561,303700,308147,30890,58936,35,1157,197,384558,212438,106090,9399,5808,3591,16949,13520,3429,75525.0,103788,171521,0.0,271803.721,53650.535,423793.682,2307327.99,68935177.05,60016367.05,128102137.9,299.46861,11767.76069,5407.25547,11742.81878,2067.3095,8517.79581,3747.17119,178.51239,44950.70226
2021.0,AG,57.0,3427.95719,5522.5,6517.5,2094.54281,142961,430594,129531,353433,349653,521525,181561,303700,308147,30890,58936,35,1157,197,384558,212438,106090,9399,5808,3591,16949,13520,3429,75525.0,103788,171521,0.0,271803.721,53650.535,423793.682,2307327.99,68935177.05,60016367.05,128102137.9,299.46861,11767.76069,5407.25547,11742.81878,2067.3095,8517.79581,3747.17119,178.51239,44950.70226
2021.0,AG,58.0,0.0,0.0,0.0,0.0,142961,430594,129531,353433,349653,521525,181561,303700,308147,30890,58936,35,1157,197,384558,212438,106090,9399,5808,3591,16949,13520,3429,75525.0,103788,171521,0.0,271803.721,53650.535,423793.682,2307327.99,68935177.05,60016367.05,128102137.9,299.46861,11767.76069,5407.25547,11742.81878,2067.3095,8517.79581,3747.17119,178.51239,44950.70226
2021.0,AG,60.0,0.0,0.0,604.746,0.0,142961,430594,129531,353433,349653,521525,181561,303700,308147,30890,58936,35,1157,197,384558,212438,106090,9399,5808,3591,16949,13520,3429,75525.0,103788,171521,0.0,271803.721,53650.535,423793.682,2307327.99,68935177.05,60016367.05,128102137.9,299.46861,11767.76069,5407.25547,11742.81878,2067.3095,8517.79581,3747.17119,178.51239,44950.70226
2021.0,AG,61.0,0.0,0.0,0.0,0.0,142961,430594,129531,353433,349653,521525,181561,303700,308147,30890,58936,35,1157,197,384558,212438,106090,9399,5808,3591,16949,13520,3429,75525.0,103788,171521,0.0,271803.721,53650.535,423793.682,2307327.99,68935177.05,60016367.05,128102137.9,299.46861,11767.76069,5407.25547,11742.81878,2067.3095,8517.79581,3747.17119,178.51239,44950.70226
2021.0,AG,62.0,0.0,0.0,0.0,0.0,142961,430594,129531,353433,349653,521525,181561,303700,308147,30890,58936,35,1157,197,384558,212438,106090,9399,5808,3591,16949,13520,3429,75525.0,103788,171521,0.0,271803.721,53650.535,423793.682,2307327.99,68935177.05,60016367.05,128102137.9,299.46861,11767.76069,5407.25547,11742.81878,2067.3095,8517.79581,3747.17119,178.51239,44950.70226
2021.0,AG,63.0,83204.07535,89367.774,83228.412,6163.698650000006,142961,430594,129531,353433,349653,521525,181561,303700,308147,30890,58936,35,1157,197,384558,212438,106090,9399,5808,3591,16949,13520,3429,75525.0,103788,171521,0.0,271803.721,53650.535,423793.682,2307327.99,68935177.05,60016367.05,128102137.9,299.46861,11767.76069,5407.25547,11742.81878,2067.3095,8517.79581,3747.17119,178.51239,44950.70226
