Ref-ID,Acc-ID,Name,Realized,Budget y+1,Region,Year
HRM2_neu_ER0044,44,Finanzertrag,10047.2,9835.3,AR,2022
HRM2_neu_ER0038,38,Ausserordentlicher Aufwand,0.0,0.0,AR,2022
HRM2_neu_ER0048,48,Ausserordentlicher Ertrag,10732.8,10378.7,AR,2022
HRM2_IR0050,50,Sachanlagen,19819.6,30089.5,AR,2022
HRM2_IR0051,51,Investitionen auf Rechnung Dritter,0.0,0.0,AR,2022
HRM2_IR0052,52,Immaterielle Anlagen,2440.1,3614.0,AR,2022
HRM2_IR0054,54,Darlehen,3329.1,28796.5,AR,2022
HRM2_IR0055,55,Beteiligungen und Grundkapitalien,135.9,232.0,AR,2022
HRM2_IR0056,56,Eigene Investitionsbeiträge,5309.9,6090.0,AR,2022
HRM2_IR0057,57,Durchlaufende Investitionsbeiträge,3978.1,3886.0,AR,2022
HRM2_neu_IR0058,58,Ausserordentliche Investitionen,0.0,0.0,AR,2022
HRM2_IR0060,60,Übertragung von Sachanlagen in das FV,0.0,0.0,AR,2022
HRM2_IR0061,61,Rückerstattungen Dritter für Investitionen,0.0,0.0,AR,2022
HRM2_IR0062,62,Abgang immaterielle Anlagen,0.0,0.0,AR,2022
HRM2_IR0063,63,Investitionsbeiträge für eigene Rechnung,3585.3,7800.0,AR,2022
HRM2_IR0064,64,Rückzahlung von Darlehen,3197.2,839.2,AR,2022
HRM2_IR0065,65,Übertragung von Beteiligungen,0.0,0.0,AR,2022
HRM2_IR0066,66,Rückzahlung eigener Investitionsbeiträge,0.0,0.0,AR,2022
HRM2_IR0067,67,Durchlaufende Investitionsbeiträge,3978.1,3886.0,AR,2022
HRM2_neu_IR0068,68,Ausserordentliche Investitionseinnahmen,0.0,0.0,AR,2022
HRM2_BI0010,10,Finanzvermögen,241493.09999999998,159032.5,AR,2022
HRM2_BI0014,14,Verwaltungsvermögen,189769.09999999998,224205.8,AR,2022
HRM2_BI0020,20,Fremdkapital,216589.5,190709.10000000003,AR,2022
HRM2_BI0029,29,Eigenkapital,214672.5,192529.3,AR,2022
HRM2_ER0030,30,Personalaufwand,3150201.2,3305027.9,BE,2022
HRM2_ER0031,31,Sach- und übriger Betriebsaufwand,906239.3,956747.2,BE,2022
HRM2_neu_ER0033,33,Abschreibungen VV,282257.7,284574.6,BE,2022
HRM2_neu_ER0035,35,Einlagen in Fonds und Spezialfinanzierungen,95074.8,72212.2,BE,2022
HRM2_ER0036,36,Transferaufwand,6606185.5,7046237.4,BE,2022
HRM2_ER0037,37,Durchlaufende Beiträge,591595.5,584980.0,BE,2022
HRM2_ER0039,39,Interne Verrechungen,158505.1,195763.6,BE,2022
HRM2_neu_ER0040,40,Fiskalertrag,5845854.9,5830110.0,BE,2022
HRM2_ER0041,41,Regalien und Konzessionen,539156.6,379316.5,BE,2022
HRM2_ER0042,42,Entgelte,578319.8,547914.7,BE,2022
HRM2_neu_ER0043,43,Verschiedene Erträge,3215.0,2668.2,BE,2022
HRM2_neu_ER0045,45,Entnahmen aus Fonds und Spezialfinanzierungen,92298.6,71586.3,BE,2022
HRM2_ER0046,46,Transferertrag,4102341.8,4484283.0,BE,2022
HRM2_ER0047,47,Durchlaufende Beiträge,591595.5,584980.0,BE,2022
HRM2_ER0049,49,Interne Verrechnungen,158505.1,195763.6,BE,2022
HRM2_neu_ER0034,34,Finanzaufwand,64178.4,62991.4,BE,2022
HRM2_neu_ER0044,44,Finanzertrag,311879.5,317307.6,BE,2022
HRM2_neu_ER0038,38,Ausserordentlicher Aufwand,14527.9,41500.2,BE,2022
HRM2_neu_ER0048,48,Ausserordentlicher Ertrag,3414.3,136206.6,BE,2022
HRM2_IR0050,50,Sachanlagen,308417.7,344422.5,BE,2022
HRM2_IR0051,51,Investitionen auf Rechnung Dritter,181.8,0.0,BE,2022
HRM2_IR0052,52,Immaterielle Anlagen,28990.6,67375.0,BE,2022
HRM2_IR0054,54,Darlehen,27279.9,33273.5,BE,2022
HRM2_IR0055,55,Beteiligungen und Grundkapitalien,0.0,0.0,BE,2022
HRM2_IR0056,56,Eigene Investitionsbeiträge,337145.0,100452.4,BE,2022
HRM2_IR0057,57,Durchlaufende Investitionsbeiträge,11045.3,10850.0,BE,2022
HRM2_neu_IR0058,58,Ausserordentliche Investitionen,0.0,0.0,BE,2022
HRM2_IR0060,60,Übertragung von Sachanlagen in das FV,4023.4,100.0,BE,2022
HRM2_IR0061,61,Rückerstattungen Dritter für Investitionen,9170.6,3469.0,BE,2022
HRM2_IR0062,62,Abgang immaterielle Anlagen,3723.7,0.0,BE,2022
HRM2_IR0063,63,Investitionsbeiträge für eigene Rechnung,90759.0,46588.4,BE,2022
HRM2_IR0064,64,Rückzahlung von Darlehen,28695.4,24266.5,BE,2022
HRM2_IR0065,65,Übertragung von Beteiligungen,0.0,0.0,BE,2022
HRM2_IR0066,66,Rückzahlung eigener Investitionsbeiträge,211477.3,0.0,BE,2022
HRM2_IR0067,67,Durchlaufende Investitionsbeiträge,11045.3,10850.0,BE,2022
HRM2_neu_IR0068,68,Ausserordentliche Investitionseinnahmen,0.0,0.0,BE,2022
HRM2_BI0010,10,Finanzvermögen,5274422.8,5684177.9,BE,2022
HRM2_BI0014,14,Verwaltungsvermögen,6950599.8,6732753.3,BE,2022
HRM2_BI0020,20,Fremdkapital,11204820.6,11894950.0,BE,2022
HRM2_BI0029,29,Eigenkapital,1020202.0,521981.1,BE,2022
HRM2_ER0030,30,Personalaufwand,659707.8139,715320.687,BL,2022
HRM2_ER0031,31,Sach- und übriger Betriebsaufwand,331092.60915,288328.731,BL,2022
HRM2_neu_ER0033,33,Abschreibungen VV,93750.75877,87050.12,BL,2022
HRM2_neu_ER0035,35,Einlagen in Fonds und Spezialfinanzierungen,7036.68315,4500.0,BL,2022
HRM2_ER0036,36,Transferaufwand,1748034.18893,1794389.17828,BL,2022
HRM2_ER0037,37,Durchlaufende Beiträge,76207.3548,77193.8,BL,2022
HRM2_ER0039,39,Interne Verrechungen,14992.78301,18502.7102,BL,2022
HRM2_neu_ER0040,40,Fiskalertrag,2051344.2522,1951910.937,BL,2022
HRM2_ER0041,41,Regalien und Konzessionen,160513.91811,90216.0,BL,2022
HRM2_ER0042,42,Entgelte,155902.66739,123973.675,BL,2022
HRM2_neu_ER0043,43,Verschiedene Erträge,5051.60669,3987.701,BL,2022
HRM2_neu_ER0045,45,Entnahmen aus Fonds und Spezialfinanzierungen,7329.83697,12317.244,BL,2022
HRM2_ER0046,46,Transferertrag,647919.14614,670723.08059,BL,2022
HRM2_ER0047,47,Durchlaufende Beiträge,76207.3548,77193.8,BL,2022
HRM2_ER0049,49,Interne Verrechnungen,14992.78301,18502.7102,BL,2022
HRM2_neu_ER0034,34,Finanzaufwand,33967.48163,37886.315,BL,2022
HRM2_neu_ER0044,44,Finanzertrag,135641.78122,120324.063,BL,2022
HRM2_neu_ER0038,38,Ausserordentlicher Aufwand,195144.0,55548.0,BL,2022
HRM2_neu_ER0048,48,Ausserordentlicher Ertrag,0.0,0.0,BL,2022
HRM2_IR0050,50,Sachanlagen,161742.906,207218.0,BL,2022
HRM2_IR0051,51,Investitionen auf Rechnung Dritter,0.0,0.0,BL,2022
HRM2_IR0052,52,Immaterielle Anlagen,0.0,0.0,BL,2022
HRM2_IR0054,54,Darlehen,0.0,3000.0,BL,2022
HRM2_IR0055,55,Beteiligungen und Grundkapitalien,0.0,0.0,BL,2022
HRM2_IR0056,56,Eigene Investitionsbeiträge,14708.948,7250.0,BL,2022
HRM2_IR0057,57,Durchlaufende Investitionsbeiträge,5000.0,0.0,BL,2022
HRM2_neu_IR0058,58,Ausserordentliche Investitionen,0.0,0.0,BL,2022
HRM2_IR0060,60,Übertragung von Sachanlagen in das FV,1400.8,0.0,BL,2022
HRM2_IR0061,61,Rückerstattungen Dritter für Investitionen,81.808,0.0,BL,2022
HRM2_IR0062,62,Abgang immaterielle Anlagen,0.0,0.0,BL,2022
HRM2_IR0063,63,Investitionsbeiträge für eigene Rechnung,16293.805,15180.0,BL,2022
HRM2_IR0064,64,Rückzahlung von Darlehen,4991.2,7989.0,BL,2022
HRM2_IR0065,65,Übertragung von Beteiligungen,0.0,0.0,BL,2022
HRM2_IR0066,66,Rückzahlung eigener Investitionsbeiträge,0.0,1200.0,BL,2022
HRM2_IR0067,67,Durchlaufende Investitionsbeiträge,5000.0,0.0,BL,2022
HRM2_neu_IR0068,68,Ausserordentliche Investitionseinnahmen,0.0,0.0,BL,2022
HRM2_BI0010,10,Finanzvermögen,2548466.8395300005,0.0,BL,2022
HRM2_BI0014,14,Verwaltungsvermögen,2656121.1720000003,0.0,BL,2022
HRM2_BI0020,20,Fremdkapital,4839590.841,0.0,BL,2022
HRM2_BI0029,29,Eigenkapital,364997.17,0.0,BL,2022
HRM2_ER0030,30,Personalaufwand,1379150.261,1488762.0,BS,2022
HRM2_ER0031,31,Sach- und übriger Betriebsaufwand,477806.942,494401.0,BS,2022
HRM2_neu_ER0033,33,Abschreibungen VV,210994.73676,227779.46,BS,2022
HRM2_neu_ER0035,35,Einlagen in Fonds und Spezialfinanzierungen,0.0,0.0,BS,2022
HRM2_ER0036,36,Transferaufwand,2307990.41172,2281046.809,BS,2022
HRM2_ER0037,37,Durchlaufende Beiträge,0.0,0.0,BS,2022
HRM2_ER0039,39,Interne Verrechungen,344708.331,361239.463,BS,2022
HRM2_neu_ER0040,40,Fiskalertrag,2999740.727,2957260.0,BS,2022
HRM2_ER0041,41,Regalien und Konzessionen,119462.891,74266.744,BS,2022
HRM2_ER0042,42,Entgelte,333965.413,352152.387,BS,2022
HRM2_neu_ER0043,43,Verschiedene Erträge,35733.243,38217.393,BS,2022
HRM2_neu_ER0045,45,Entnahmen aus Fonds und Spezialfinanzierungen,0.0,0.0,BS,2022
HRM2_ER0046,46,Transferertrag,866210.13531,851585.274,BS,2022
HRM2_ER0047,47,Durchlaufende Beiträge,0.0,0.0,BS,2022
HRM2_ER0049,49,Interne Verrechnungen,344708.331,361239.463,BS,2022
HRM2_neu_ER0034,34,Finanzaufwand,233557.474,99735.689,BS,2022
HRM2_neu_ER0044,44,Finanzertrag,471728.114,360509.497,BS,2022
HRM2_neu_ER0038,38,Ausserordentlicher Aufwand,0.0,0.0,BS,2022
HRM2_neu_ER0048,48,Ausserordentlicher Ertrag,0.0,0.0,BS,2022
HRM2_IR0050,50,Sachanlagen,285425.755,343080.282,BS,2022
HRM2_IR0051,51,Investitionen auf Rechnung Dritter,658.991,0.0,BS,2022
HRM2_IR0052,52,Immaterielle Anlagen,12542.57,120.0,BS,2022
HRM2_IR0054,54,Darlehen,55516.929,94710.0,BS,2022
HRM2_IR0055,55,Beteiligungen und Grundkapitalien,75028.815,3000.0,BS,2022
HRM2_IR0056,56,Eigene Investitionsbeiträge,17598.706,0.0,BS,2022
HRM2_IR0057,57,Durchlaufende Investitionsbeiträge,0.0,0.0,BS,2022
HRM2_neu_IR0058,58,Ausserordentliche Investitionen,0.0,0.0,BS,2022
HRM2_IR0060,60,Übertragung von Sachanlagen in das FV,726.371,645.809,BS,2022
HRM2_IR0061,61,Rückerstattungen Dritter für Investitionen,658.991,0.0,BS,2022
HRM2_IR0062,62,Abgang immaterielle Anlagen,0.0,0.0,BS,2022
HRM2_IR0063,63,Investitionsbeiträge für eigene Rechnung,10705.936,651.0,BS,2022
HRM2_IR0064,64,Rückzahlung von Darlehen,17755.802,19904.55,BS,2022
HRM2_IR0065,65,Übertragung von Beteiligungen,0.0,0.0,BS,2022
HRM2_IR0066,66,Rückzahlung eigener Investitionsbeiträge,0.0,0.0,BS,2022
HRM2_IR0067,67,Durchlaufende Investitionsbeiträge,0.0,0.0,BS,2022
HRM2_neu_IR0068,68,Ausserordentliche Investitionseinnahmen,0.0,0.0,BS,2022
HRM2_BI0010,10,Finanzvermögen,7153870.448899999,0.0,BS,2022
HRM2_BI0014,14,Verwaltungsvermögen,6134358.28381,0.0,BS,2022
HRM2_BI0020,20,Fremdkapital,6952528.95623,0.0,BS,2022
HRM2_BI0029,29,Eigenkapital,6335699.77648,0.0,BS,2022
HRM2_ER0030,30,Charges de personnel,1697890.0,1455267.0,FR,2022
HRM2_ER0031,31,Charges de biens et services et autres charges d'exploitation,418249.0,407579.0,FR,2022
HRM2_neu_ER0033,33,Amortissements du patrimoine administratif,78184.0,89854.0,FR,2022
HRM2_neu_ER0035,35,Attributions aux fonds et financements spéciaux,234916.0,63277.0,FR,2022
HRM2_ER0036,36,Charges de transfert,1762112.0,1762288.0,FR,2022
HRM2_ER0037,37,Subventions à redistribuer,220107.0,221800.0,FR,2022
HRM2_ER0039,39,Imputations internes,49063.0,46181.0,FR,2022
HRM2_neu_ER0040,40,Revenus fiscaux,1447526.0,1367541.0,FR,2022
HRM2_ER0041,41,Patentes et concessions,170599.0,20427.0,FR,2022
HRM2_ER0042,42,Taxes,268533.0,257801.0,FR,2022
HRM2_neu_ER0043,43,Revenus divers,2269.0,2077.0,FR,2022
HRM2_neu_ER0045,45,Prélèvements sur les fonds et financements spéciaux,470268.0,200075.0,FR,2022
HRM2_ER0046,46,Revenus de transferts,1740328.0,1827143.0,FR,2022
HRM2_ER0047,47,Subventions à redistribuer,219769.0,221800.0,FR,2022
HRM2_ER0049,49,Imputations internes,49063.0,46181.0,FR,2022
HRM2_neu_ER0034,34,Charges financières,6322.0,5292.0,FR,2022
HRM2_neu_ER0044,44,Revenus financiers,148982.0,108596.0,FR,2022
HRM2_neu_ER0038,38,Charges extraordinaires,50000.0,0.0,FR,2022
HRM2_neu_ER0048,48,Revenus extraordinaires,0.0,0.0,FR,2022
HRM2_IR0050,50,Immobilisations corporelles,86837.0,154125.0,FR,2022
HRM2_IR0051,51,Investissements pour le compte de tiers,0.0,0.0,FR,2022
HRM2_IR0052,52,Immobilisations incorporelles,0.0,0.0,FR,2022
HRM2_IR0054,54,Prêts,8528.0,20200.0,FR,2022
HRM2_IR0055,55,Participations et capital social,52102.0,6600.0,FR,2022
HRM2_IR0056,56,Propres subventions d'investissement,66298.0,77521.0,FR,2022
HRM2_IR0057,57,Subventions d'investissements à redistribuer,14973.0,25401.0,FR,2022
HRM2_neu_IR0058,58,Investissements extraordinaires,0.0,0.0,FR,2022
HRM2_IR0060,60,Transfert d'immobilisations corporelles dans le patrimoine financier,0.0,0.0,FR,2022
HRM2_IR0061,61,Remboursements pour les investissements sur le compte des tiers,0.0,0.0,FR,2022
HRM2_IR0062,62,Vente d'immobilisations incorporelles,0.0,0.0,FR,2022
HRM2_IR0063,63,Subventions d'investissements acquises,7583.0,14458.0,FR,2022
HRM2_IR0064,64,Remboursement de prêts,16263.0,11283.0,FR,2022
HRM2_IR0065,65,Transfert de participations,0.0,0.0,FR,2022
HRM2_IR0066,66,Remboursement de propres subventions d'investissement,0.0,50.0,FR,2022
HRM2_IR0067,67,Subventions d'investissements à redistribuer,17543.0,25401.0,FR,2022
HRM2_neu_IR0068,68,Recettes d'investissement extraordinaires,0.0,0.0,FR,2022
HRM2_BI0010,10,Patrimoine Financier,2416925.0,0.0,FR,2022
HRM2_BI0014,14,Patrimoine administratif,917499.0,0.0,FR,2022
HRM2_BI0020,20,Capitaux de tiers,1989326.0,0.0,FR,2022
HRM2_BI0029,29,Capital propre,1345098.0,0.0,FR,2022
HRM2_ER0030,30,Charges de personnel,2684696.7,2854563.2,GE,2022
HRM2_ER0031,31,Charges de biens et services et autres charges d'exploitation,959861.9,646101.2,GE,2022
HRM2_neu_ER0033,33,Amortissements du patrimoine administratif,357848.2,360793.2,GE,2022
HRM2_neu_ER0035,35,Attributions aux fonds et financements spéciaux,0.0,0.0,GE,2022
HRM2_ER0036,36,Charges de transfert,5531373.9,5784110.9,GE,2022
HRM2_ER0037,37,Subventions à redistribuer,82861.6,51947.4,GE,2022
HRM2_ER0039,39,Imputations internes,14519.2,14786.8,GE,2022
