Ref-ID,Acc-ID,Name,Realized,Budget y+1,Region,Year
HRM2_IR0006,6,Investitionseinnahmen gesamt,9788.9313,7146.8,SZ,2022
HRM2_BI0001,1,Aktiven,1773658.8175,0.0,SZ,2022
HRM2_BI0002,2,Passiven,1773658.8175,0.0,SZ,2022
HRM2_ER0003,3,Aufwand,2371544.6,2457415.1,TG,2022
HRM2_ER0004,4,Ertrag,2452741.5,2411626.9000000004,TG,2022
HRM2_IR0005,5,Investitionsausgaben gesamt,93050.59999999999,118899.29999999999,TG,2022
HRM2_IR0006,6,Investitionseinnahmen gesamt,39388.899999999994,37282.0,TG,2022
HRM2_BI0001,1,Aktiven,2061905.5999999999,0.0,TG,2022
HRM2_BI0002,2,Passiven,2061905.5,0.0,TG,2022
HRM2_ER0003,3,Aufwand,4219551.35432,4238912.0,TI,2022
HRM2_ER0004,4,Ertrag,4222505.537389999,4159378.8999999994,TI,2022
HRM2_IR0005,5,Investitionsausgaben gesamt,445384.25909999997,450111.8,TI,2022
HRM2_IR0006,6,Investitionseinnahmen gesamt,125403.73415,156462.7,TI,2022
HRM2_BI0001,1,Aktiven,7273855.4942,0.0,TI,2022
HRM2_BI0002,2,Passiven,7273855.4942,0.0,TI,2022
HRM2_ER0003,3,Aufwand,436984.33493,456989.809,UR,2022
HRM2_ER0004,4,Ertrag,453420.38489999995,448070.449,UR,2022
HRM2_IR0005,5,Investitionsausgaben gesamt,76002.13286,89828.393,UR,2022
HRM2_IR0006,6,Investitionseinnahmen gesamt,31667.137960000004,38241.013,UR,2022
HRM2_BI0001,1,Aktiven,625728.8337399999,645474.3767200001,UR,2022
HRM2_BI0002,2,Passiven,625728.83374,645474.37672,UR,2022
HRM2_ER0003,3,Charges,11645592.299999999,11079764.1,VD,2022
HRM2_ER0004,4,Revenus,11749851.2,10850145.1,VD,2022
HRM2_IR0005,5,Dépenses d'investissements total,477742.3,587323.6,VD,2022
HRM2_IR0006,6,Recettes d'investissements total,75611.70000000001,49653.9,VD,2022
HRM2_BI0001,1,Actif,10416016.500000002,0.0,VD,2022
HRM2_BI0002,2,Passif,10416016.5,0.0,VD,2022
HRM2_ER0003,3,Aufwand,4247438.88452,4232935.0,VS,2022
HRM2_ER0004,4,Ertrag,4303693.215899999,4256571.9,VS,2022
HRM2_IR0005,5,Investitionsausgaben gesamt,483661.27507,583324.5,VS,2022
HRM2_IR0006,6,Investitionseinnahmen gesamt,257319.76768000002,293046.2,VS,2022
HRM2_BI0001,1,Aktiven,4784468.32019,0.0,VS,2022
HRM2_BI0002,2,Passiven,4784468.32019,0.0,VS,2022
HRM2_ER0003,3,Aufwand,1595144.985,1710781.518,ZG,2022
HRM2_ER0004,4,Ertrag,1927183.28,1958127.9000000001,ZG,2022
HRM2_IR0005,5,Investitionsausgaben gesamt,98928.2,133373.96000000002,ZG,2022
HRM2_IR0006,6,Investitionseinnahmen gesamt,13012.0,17746.5,ZG,2022
HRM2_BI0001,1,Aktiven,2902565.886,0.0,ZG,2022
HRM2_BI0002,2,Passiven,2902565.89,0.0,ZG,2022
HRM2_ER0003,3,Aufwand,18115870.61272,18197736.302569997,ZH,2022
HRM2_ER0004,4,Ertrag,18659094.96382,18084244.7099,ZH,2022
HRM2_IR0005,5,Investitionsausgaben gesamt,1140861.21476,1250093.999,ZH,2022
HRM2_IR0006,6,Investitionseinnahmen gesamt,170223.52990999998,173640.855,ZH,2022
HRM2_BI0001,1,Aktiven,24814192.54112,0.0,ZH,2022
HRM2_BI0002,2,Passiven,24814192.54112,0.0,ZH,2022
